titre,domaine,type_news
هذه الصورة تعود لزيارة محمد بن سلمان لحاملة طائرات أمريكية في الخليج العربي عام 2015، وليس في البحر الأحمر حديثًا,,مضلل
هذا الفيديو لا يظهر مقتل قناص إسرائيلي في غزة حديثًا، بل متداول منذ عام 2016 على أنه في تركيا,,مضلل
هذا الفيديو لا يظهر تجمع المزارعين على الحدود الأمريكية المكسيكية بل لمظاهرة من الجرارات في ألمانيا حديثًا,,مضلل
هذا المقطع يعرض عملًا فنيًا لفنان مكسيكي للتضامن مع غزة وليس لدمية على شكل طفل فلسطيني تباع في الاسواق,,مضلل
هذا المقطع يعود لعام 2021، ولا يظهر اعتذار الحكم من اللاعب أيمن حسين بل اعتذار مدرب المنتخب العراقي زيليكو بتروفيتش للاعب آنذاك,,مضلل
هذا المقطع متداول منذ نوفمبر 2023 في تشيلي، ولا يظهر انتشار دبابات في ولاية تكساس مؤخرًا,,مضلل
هذه الصورة لا تظهر إسقاط طائرة أباتشي إسرائيلية في خان يونس حديثًا بل متداولة منذ عام 2015 على أنها في السعودية,,مضلل
هذا الفيديو لا يظهر اعمال شغب في الجزائر خلال احتفالات بخسارة المنتخب المغربي بل يعود لعام 2019 في مدينة الجزائر,,مضلل
هذا المقطع ليس لتوجه سائقي الشاحنات نحو حدود تكساس للاحتجاج على الحكومة الفيدرالية، بل لاحتجاج ضد إجراءات كورونا في عام 2022,,مضلل
هذه الصورة مولدة بواسطة نماذج الذكاء الاصطناعي، ولا تبين ظهور بايدن بالزي العسكري في اجتماع طارئ مؤخراً,,زائف
هذا المقطع يظهر اشتعال النيران في سفينتي نقل غاز عام 2019 في البحر الأسود وليس من استهداف السفينة “مارلين لواندا” مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع ليس لاشتعال النيران بناقلة النفط “مارلين لواندا”، بل يعود لاحتراق سفينة في مايو 2021 بالقرب من سريلانكا,,مضلل
هذا الفيديو تمثيلي ولا يوثق تعرض ثلاث فتيات من فرقة المظليين في الجيش الفرنسي للتحرش في مترو باريس,,مضلل
هذه الصورة ليست من استهداف ناقلة النفط البريطانية في خليج عدن مؤخراً، بل لاحتراق سفينة شحن عام 2019 في البحر الأحمر,,مضلل
هذه الصورة مولدة باستخدام إحدى برامج الذكاء الصناعي، ولا تظهر اندلاع النيران في برج إيفل مؤخرًا,,زائف
هذه الصور تعود لحادث اصطدام مدمّرة صواريخ أمريكية عام 2017، وليست للسفينة الأمريكية التي أعلن الحوثيون استهدافها,,مضلل
هذا الفيديو متداول منذ عام 2020 على الأقل وليس من الاستهداف الأمريكي الأخير لمناطق في العراق,,مضلل
هذا المقطع ساخر وغير حقيقي، ولا يظهر شتم كلاوس شواب من قبل أحد المشاركين في المنتدى الاقتصادي العالمي,,زائف
هذا المقطع مقتبس من لعبة محاكاة إلكترونية، ولا يظهر تحطم طائرة بعد مشاركتها في قصف صنعاء مؤخرًا,,مضلل
هذه الصورة تظهر لقاء جمع البرهان ورئيسي في الرياض عام 2023 وليس في إيران حديثًا,,مضلل
هذا المقطع يعود لاحتراق سفينة قبالة ساحل سريلانكا عام 2021، وليس لسفينة أمريكية استهدفها الحوثيين مؤخرًا,,مضلل
هذا المقطع لا يصور استهداف الحوثيين لسفينة أمريكية في البحر الأحمر، بل مقتبس من لعبة فيديو,,مضلل
هذه المشاهد تعود لعام 2021، ولا تظهر ردًّا من الحوثيين على الضربات الأمريكية والبريطانية التي استهدفتهم مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذه المشاهد تعود لنوفمبر الماضي وليست لإطلاق الحوثيين طائرات مسيّرة نحو أهداف بريطانية أمريكية مؤخّرًا,,مضلل
هذا المقطع متداول منذ أشهر لانفجار محطة غاز، وليس لانفجارات في صنعاء عقب الضربات الأمريكية والبريطانية,,مضلل
هذه المشاهد تعود لاحتراق سفينة أمريكية في الولايات المتحدة عام 2020 وليس في البحر الأحمر حديثًا,,مضلل
هذه الصورة مركبة والصورة الأصلية تظهر مسيّرة بحرية بدون ربّان تابعة للبحرية الأوكرانية,,زائف
هذه المشاهد متداولة منذ سنوات لتدريبات عسكرية وليست لتجمع قوة دولية كبيرة في البحر الاحمر مؤخرًا,,مضلل
صورة لأوباما مع ابنة أخته يتم تداولها بشكل مضلل مع صورة أخرى لطفلة عثر عليها مقتولة في إندونيسيا,,مضلل
هذه المشاهد من مسلسل سيمبسون لا تظهر تنبؤ السلسلة بزيارة ستيفن هوكينغ لجزيرة إبستين,,مضلل
هذا المقطع ليس لاستهداف الحوثيين لناقلة سيارات متجهة لميناء إيلات، بل لاحتراق مركب بالقرب من سواحل ظفار,,مضلل
هذه الصورة تعود لغرق مركب مهاجرين في ليبيا عام 2016 وليس لمروحية أمريكية تحلق فوق زوارق الحوثيين التي استهدفت مؤخرًا,,مضلل
هذا المقطع ليس من الزلزال الذي ضرب اليابان حديثًا بل يعود لزلزال اليابان عام 2011,,مضلل
هذا المقطع يظهر تدريبات للقوات الأمريكية عام 2017 وليس من استهداف زوارق الحوثيين في البحر الأحمر حديثًا,,مضلل
هذا المقطع يظهر احتراق مركب قبالة سواحل سلطنة عُمان، وليس لاستهداف الحوثيين لناقلة نفط بريطانية,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذه الصورة لا تظهر صلاة الجنازة على جندي أمريكي في العراق، بل جنازة جندي أمريكي في نيويورك قتل في أفغانستان عام 2008,,مضلل
هذه الصورة متداولة منذ عام 2022 وتعود لإلقاء القبض على متورطين بأعمال تهريب وقود بعدة محافظات عراقية,,مضلل
هذا المقطع يظهر اعتذار استراليا عن استخدام دواء “الثاليدوميد” ولا صحة لاحتواء هذه المنتجات الغذائية على خلايا أجنة مجهضة,,زائف
هذه الصورة قديمة وليست للقاء جمع بين محمد حمدان دقلو مع المبعوثة الأمريكية في جيبوتي,,مضلل
هذا الفيديو يعود لطائرة سقطت في إيران بسبب عطل فني ولا يظهر مسيرة من اليمن سقطت في مصر,,مضلل
هذه الصورة ليست لجثث ملقاة في مدينة ود مدني، بل هي إعلان لشركة إتصالات هندية في عام 2009,,مضلل
هذا الفيديو ليس لسفينة استهدفها الحوثيون في البحر الأحمر حديثًا، بل يعود لاحتراق سفينة في سريلانكا عام 2021,,مضلل
هذا الفيديو متداول منذ عام 2016 ولا يظهر حشود يمنية تتجه نحو البحر الأحمر مؤخرًا,,مضلل
هذا المقطع ليس لانفجار أنبوب مياه مخصص لإغراق أنفاق غزة، بل لانفجار خط مياه في السعودية عام 2016,,مضلل
هذا المقطع متداول منذ يونيو الماضي على أنه من تدريبات للقوات البحرية الأمريكية وليس للقبض على قناص إسرائيلي في غزة حديثًا,,مضلل
هذا المقطع يعود لفعالية نظمت في 16 نوفمبر الماضي ولا علاقة لها بالحرب أو بالحملة الإعلانية التي قامت زارا بسحبها مؤخرًا,,مضلل
هذا المقطع ليس من استهداف السفينة البلغارية، بل يظهر اشتعال النيران في سفينة الشحن ميرسك هونام عام 2018,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا الفيديو ليس من استهداف السفن في البحر الأحمر بل يظهر تدريبات للبحرية النرويجية عام 2013,,مضلل
هذا المقطع يظهر احتراق سفينة في الشارقة عام 2019، وليس بارجة إسرائيلية استهدفها الحوثيون في البحر الأحمر,,مضلل
هذه الصورة التي قيل إنها لمنشورات من فصائل عراقية تهدد بمهاجمة مجموعات تابعة لإيران في محافظة نينوى العراقية مفبركة,,زائف
هذا المقطع متداول منذ عام 2016 على الأقل، ولا يبين لحظة استهداف الحوثي السفينة النرويجية مؤخرًا,,مضلل
هذا الفيديو يظهر تفجير نفق في سوريا عام 2014 وليس لانفجار في غزة إثر القصف الإسرائيلي,,مضلل
هذا المقطع متداول منذ عام 2016 في سوريا وليس من الصواريخ التي أطلقت حديثًا من جنوب لبنان باتجاه الجيش الإسرائيلي,,مضلل
هذا الفيديو ليس من استهداف الآليات الإسرائيلية في قطاع غزة حديثًا بل متداول منذ عام 2014,,مضلل
هذه الصورة ليست لانفجار في ميناء إيلات مؤخراً، بل تظهر حرائق في ميناء إسكندرون عقب الزلزال الذي ضرب تركيا في فبراير 2023,,مضلل
الترجمة المرفقة بهذا المقطع مفبركة، ولم يُعلن عن عودة حزب البعث للعمل في العراق في هذا الخطاب,,زائف
هذه الصورة مفبركة وليست من السفينة التي أعلن الحوثيون استهدافها مؤخرًا بل من مناورة إيرانية عام 2015,,زائف
هذا الفيديو متداول منذ أغسطس 2015 لتدريبات عسكرية وليس للسفن التي اعلن الحوثيين استهدافهم مؤخرًا,,مضلل
هذا الفيديو يعود لاحتراق سفينة قرب سواحل سريلانكا عام 2021 وليس للسفينة التي أعلن الحوثيون استهدافها مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا الفيديو لا يظهر رهينة إسرائيلية خرجت ضمن صفقة التبادل مع حماس، بل يعود لصانعة محتوى ألمانية,,مضلل
الترجمة المرفقة بهذا الفيديو مفبركة، ولم يعلن بنيامين نتنياهو الحرب على اليمن في هذا الخطاب,,زائف
هذا الفيديو يظهر الة حفر الانفاق في مناجم أستراليا عام 2019 وليس من الأنفاق التي تمتلكها حماس في قطاع غزة,,مضلل
هذا المقطع مركب ولا يظهر رئيس الوفد اليمني يخاطب بشار الأسد في القمة العربية الإسلامية الطارئة في الرياض,,زائف
هذا المقطع متداول منذ عام 2020، ويبين هبوطًا اضطراريًا لطائرة استطلاع ليبية على الحدود الليبية النيجيرية,,مضلل
هذا المقطع يظهر نائب أمريكي يعترض على مشروع قانون التعاقد عام 2012 وليس على ما يحدث في غزة,,مضلل
هذه الترجمة مفبركة، والمقطع قديم يتحدث فيه الرئيس الأمريكي عن فلاديمير بوتين وليس عن اليمن,,زائف
هذه المشاهد متداولة منذ سنوات وتعود لأحداث مختلفة ولا تبين ظواهر غريبة حدثت مؤخرًا,,مضلل
هذا الفيديو يظهر سفينة تابعة لشركة هيونداي وليس للسفينة “جالاكسي ليدر” التي احتجزها الحوثيون مؤخرًا في اليمن,,مضلل
هذا الفيديو يظهر احتفال جماهير نادي ساو باولو البرازيلي، ولا يبين رفع علم اليمن في البرازيل احتفالًا باستهداف إيلات,,مضلل
هذه الصورة قديمة ومتداولة منذ عام 2020 لسفينة شحن مركبات وليست للسفينة “جالاكسي ليدر” التي احتجزها الحوثيون مؤخرًا,,مضلل
هذا الفيديو ليس من المسيرة التضامنية مع غزة في بولندا بل متداول منذ 1 أكتوبر لمسيرة احتجاجية معارضة,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا الفيديو قديم ولا يظهر عودة النائب محمد الحلبوسي لرئاسة مجلس النواب مؤخرًا,,مضلل
هذه الصورة قديمة وليست للسفينة “جالاكسي ليدر” التي احتجزها الحوثيون في البحر الأحمر مؤخراً,,مضلل
هذا المقطع المتداول قديم ولا يبيّن سقوط بايدن أثناء نزوله من الطائرة في بولندا بل موظفة في البيت الأبيض,,مضلل
هذا الفيديو مقتبس من لعبة محاكاة إلكترونية وليس من الدبابات الإسرائيلية التي أعلنت حماس عن تدميرها في غزة,,مضلل
هذه الصورة مفبركة، والصورة الحقيقية لا تظهر صورة هتلر داخل مبنى برلمان كوريا الشمالية,,زائف
هذه الصورة من صنع الذكاء الاصطناعي، ولا تظهر جماهير نادي بوكا الأرجنتيني يدمرون مطعم ماكدونالدز,,زائف
هذا الفيديو ليس من المسيرة التي استهدفت مدينة إيلات مؤخرًا بل هجوم بطائرة مسيرة في موسكو,,مضلل
هذا المقطع مقتبس من لعبة إلكترونية، ولا يبين لحظة تدمير دبابة وقنص جندي إسرائيلي في غزة مؤخرًا,,مضلل
هذا الفيديو ليس من المسيرات التضامنية مع أهل غزة التي خرجت في فرنسا بل يعود لتجمع جماهير نادي برازيلي,,مضلل
هذا الفيديو يعود لانفجارات في مدينة كييف في أوكرانيا عام 2022 وليس من الصواريخ التي سقطت على تل أبيب مؤخرًا,,مضلل
هذا الفيديو لا يبين استهداف سفينة حربية إسرائيلية في البحر الأحمر مؤخرًا وإنما يظهر تدريبات انفجار مصنع كيماوي في الصين,,مضلل
هذا الفيديو متداول منذ عام 2014 على الأقل وليس من الصواريخ التي أطلقها حزب الله من جنوب لبنان مؤخرًا,,مضلل
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",,
جيبوتي -Djibouti حملة COVID-19 vs F19,,
اليمن -Yemen حملة COVID-19 vs F19,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,,زائف
هذا المقطع قديم ومتداول منذ عام 2018 ولا يظهر اعتراض السعودية صاروخًا أطلق من اليمن حديثًا,,مضلل
